Crossover Probability (p),Empirical BER,P_e Lexicographic,P_e Anti-Lexicographic,P_e Coin-Flip
0.265,0.40007000,0.26617754,0.28091944,0.27733954
0.266,0.39831000,0.26746913,0.28225881,0.27865047
0.267,0.39523000,0.26875907,0.28359574,0.27995904
0.268,0.39844000,0.27004733,0.28493021,0.28126523
0.269,0.40323000,0.27133389,0.28626219,0.28256902
0.270,0.40477000,0.27261873,0.28759165,0.28387038
0.271,0.40353000,0.27390183,0.28891857,0.28516929
0.272,0.40425000,0.27518316,0.29024291,0.28646572
0.273,0.40754000,0.27646271,0.29156465,0.28775966
0.274,0.40426000,0.27774044,0.29288377,0.28905108
0.275,0.40186000,0.27901635,0.29420023,0.29033995
0.276,0.40887000,0.28029041,0.29551401,0.29162627
0.277,0.40889000,0.28156260,0.29682509,0.29291000
0.278,0.40830000,0.28283290,0.29813343,0.29419112
0.279,0.41071000,0.28410129,0.29943902,0.29546962
0.280,0.41232000,0.28536774,0.30074183,0.29674547
0.281,0.41538000,0.28663225,0.30204184,0.29801866
0.282,0.41456000,0.28789479,0.30333902,0.29928916
0.283,0.41671000,0.28915534,0.30463334,0.30055695
0.284,0.41525000,0.29041388,0.30592479,0.30182202
0.285,0.41751000,0.29167040,0.30721335,0.30308434
0.286,0.42270000,0.29292487,0.30849898,0.30434391
0.287,0.42172000,0.29417728,0.30978166,0.30560069
0.288,0.42007000,0.29542761,0.31106138,0.30685468
0.289,0.41902000,0.29667585,0.31233811,0.30810585
0.290,0.42139000,0.29792197,0.31361183,0.30935418
0.291,0.43032000,0.29916595,0.31488252,0.31059967
0.292,0.42892000,0.30040779,0.31615016,0.31184229
0.293,0.42759000,0.30164746,0.31741472,0.31308203
0.294,0.42668000,0.30288495,0.31867619,0.31431887
0.295,0.42976000,0.30412024,0.31993455,0.31555279
0.296,0.42972000,0.30535331,0.32118977,0.31678379
0.297,0.42662000,0.30658416,0.32244184,0.31801184
0.298,0.42860000,0.30781276,0.32369074,0.31923693
0.299,0.43216000,0.30903910,0.32493645,0.32045904
0.300,0.43186000,0.31026316,0.32617895,0.32167817
0.301,0.43455000,0.31148493,0.32741822,0.32289429
0.302,0.43584000,0.31270439,0.32865424,0.32410740
0.303,0.43365000,0.31392153,0.32988700,0.32531748
0.304,0.43110000,0.31513634,0.33111648,0.32652451
0.305,0.43475000,0.31634880,0.33234266,0.32772849
0.306,0.43428000,0.31755890,0.33356552,0.32892939
0.307,0.43530000,0.31876662,0.33478505,0.33012722
0.308,0.43669000,0.31997195,0.33600124,0.33132195
0.309,0.44172000,0.32117488,0.33721405,0.33251358
0.310,0.44121000,0.32237539,0.33842349,0.33370209
0.311,0.44003000,0.32357347,0.33962953,0.33488747
0.312,0.44132000,0.32476911,0.34083216,0.33606972
0.313,0.44431000,0.32596229,0.34203136,0.33724881
0.314,0.44204000,0.32715301,0.34322712,0.33842474
0.315,0.44113000,0.32834125,0.34441942,0.33959750
0.316,0.44760000,0.32952700,0.34560826,0.34076708
0.317,0.44817000,0.33071025,0.34679360,0.34193347
0.318,0.44402000,0.33189099,0.34797545,0.34309666
0.319,0.44742000,0.33306920,0.34915379,0.34425664
0.320,0.44640000,0.33424487,0.35032861,0.34541340
0.321,0.44742000,0.33541800,0.35149988,0.34656694
0.322,0.45051000,0.33658857,0.35266761,0.34771723
0.323,0.44966000,0.33775658,0.35383177,0.34886428
0.324,0.44949000,0.33892200,0.35499235,0.35000808
0.325,0.45124000,0.34008484,0.35614935,0.35114862
0.326,0.45469000,0.34124508,0.35730275,0.35228589
0.327,0.45513000,0.34240271,0.35845254,0.35341989
0.328,0.45616000,0.34355772,0.35959870,0.35455060
0.329,0.45423000,0.34471011,0.36074123,0.35567802
0.330,0.45509000,0.34585986,0.36188012,0.35680215
0.331,0.45569000,0.34700696,0.36301536,0.35792297
0.332,0.45839000,0.34815141,0.36414692,0.35904048
0.333,0.45914000,0.34929320,0.36527482,0.36015468
0.334,0.45862000,0.35043232,0.36639903,0.36126556
0.335,0.45972000,0.35156875,0.36751954,0.36237311
0.336,0.45722000,0.35270250,0.36863635,0.36347732
0.337,0.45757000,0.35383355,0.36974945,0.36457820
0.338,0.45958000,0.35496190,0.37085882,0.36567573
0.339,0.45719000,0.35608753,0.37196446,0.36676992
0.340,0.46094000,0.35721045,0.37306637,0.36786076
0.341,0.46163000,0.35833063,0.37416453,0.36894823
0.342,0.46275000,0.35944809,0.37525893,0.37003235
0.343,0.46298000,0.36056280,0.37634956,0.37111310
0.344,0.46318000,0.36167477,0.37743643,0.37219048
